Fraktion/Gruppe,Vorname,Name,ja,nein,Enthaltung,ungültig,nichtabgegeben,total_votes,ratio_ja,ratio_nein,ratio_Enthaltung,ratio_ungültig,ratio_nichtabgegeben
SPD,Martin,Kröber,51,15,0,0,2,68,0.75,0.22058823529411764,0.0,0.0,0.029411764705882353
SPD,Felix,Döring,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
SPD,Nils,Schmid,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
SPD,Rasha,Nasr,50,14,2,0,2,68,0.7352941176470589,0.20588235294117646,0.029411764705882353,0.0,0.029411764705882353
SPD,Sabine,Dittmar,51,15,0,0,2,68,0.75,0.22058823529411764,0.0,0.0,0.029411764705882353
SPD,Sabine,Poschmann,53,13,0,0,2,68,0.7794117647058824,0.19117647058823528,0.0,0.0,0.029411764705882353
SPD,Sebastian,Hartmann,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
SPD,Svenja,Stadler,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
SPD,Tim,Klüssendorf,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
SPD,Olaf,Scholz,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
AfD,Hans-Jürgen,Goßner,22,41,3,0,2,68,0.3235294117647059,0.6029411764705882,0.04411764705882353,0.0,0.029411764705882353
AfD,Iris,Nieland,19,43,4,0,2,68,0.27941176470588236,0.6323529411764706,0.058823529411764705,0.0,0.029411764705882353
SPD,Carolin,Wagner,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Sepp,Müller,53,13,0,0,2,68,0.7794117647058824,0.19117647058823528,0.0,0.0,0.029411764705882353
CDU/CSU,Silvia,Breher,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
BÜ90/GR,Ayse,Asar,33,25,8,0,2,68,0.4852941176470588,0.36764705882352944,0.11764705882352941,0.0,0.029411764705882353
CDU/CSU,Thomas,Röwekamp,53,13,0,0,2,68,0.7794117647058824,0.19117647058823528,0.0,0.0,0.029411764705882353
CDU/CSU,Thorsten,Frei,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Tino,Sorge,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Tobias,Winkler,54,12,0,0,2,68,0.7941176470588235,0.17647058823529413,0.0,0.0,0.029411764705882353
AfD,Leif-Erik,Holm,21,42,3,0,2,68,0.3088235294117647,0.6176470588235294,0.04411764705882353,0.0,0.029411764705882353
Die Linke,Cem,Ince,23,37,6,0,2,68,0.3382352941176471,0.5441176470588235,0.08823529411764706,0.0,0.029411764705882353
Die Linke,Lea,Reisner,22,39,5,0,2,68,0.3235294117647059,0.5735294117647058,0.07352941176470588,0.0,0.029411764705882353
Die Linke,Maren,Kaminski,23,37,6,0,2,68,0.3382352941176471,0.5441176470588235,0.08823529411764706,0.0,0.029411764705882353
Die Linke,Michael,Arndt,23,37,6,0,2,68,0.3382352941176471,0.5441176470588235,0.08823529411764706,0.0,0.029411764705882353
Die Linke,Zada,Salihović,23,36,7,0,2,68,0.3382352941176471,0.5294117647058824,0.10294117647058823,0.0,0.029411764705882353
SPD,Adis,Ahmetović,51,14,1,0,2,68,0.75,0.20588235294117646,0.014705882352941176,0.0,0.029411764705882353
SPD,Angelika,Glöckner,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
CDU/CSU,Patricia,Lips,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
BÜ90/GR,Boris,Mijatović,34,24,8,0,2,68,0.5,0.35294117647058826,0.11764705882352941,0.0,0.029411764705882353
CDU/CSU,Stefan,Nacke,53,13,0,0,2,68,0.7794117647058824,0.19117647058823528,0.0,0.0,0.029411764705882353
BÜ90/GR,Robert,Habeck,2,2,1,0,2,7,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857
BÜ90/GR,Marlene,Schönberger,34,25,7,0,2,68,0.5,0.36764705882352944,0.10294117647058823,0.0,0.029411764705882353
BÜ90/GR,Swantje Henrike,Michaelsen,33,25,8,0,2,68,0.4852941176470588,0.36764705882352944,0.11764705882352941,0.0,0.029411764705882353
CDU/CSU,Christoph,Ploß,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
BÜ90/GR,Matthias,Gastel,34,24,8,0,2,68,0.5,0.35294117647058826,0.11764705882352941,0.0,0.029411764705882353
BÜ90/GR,Lena,Gumnior,33,26,7,0,2,68,0.4852941176470588,0.38235294117647056,0.10294117647058823,0.0,0.029411764705882353
CDU/CSU,Caroline,Bosbach,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
BÜ90/GR,Kirsten,Kappert-Gonther,33,25,8,0,2,68,0.4852941176470588,0.36764705882352944,0.11764705882352941,0.0,0.029411764705882353
CDU/CSU,Björn,Simon,52,14,0,0,2,68,0.7647058823529411,0.20588235294117646,0.0,0.0,0.029411764705882353
BÜ90/GR,Zoe,Mayer,34,25,7,0,2,68,0.5,0.36764705882352944,0.10294117647058823,0.0,0.029411764705882353
BÜ90/GR,Linda,Heitmann,34,25,7,0,2,68,0.5,0.36764705882352944,0.10294117647058823,0.0,0.029411764705882353
BÜ90/GR,Hanna,Steinmüller,34,25,7,0,2,68,0.5,0.36764705882352944,0.10294117647058823,0.0,0.029411764705882353
CDU/CSU,Artur,Auernhammer,53,13,0,0,2,68,0.7794117647058824,0.19117647058823528,0.0,0.0,0.029411764705882353
BÜ90/GR,Irene,Mihalic,34,25,7,0,2,68,0.5,0.36764705882352944,0.10294117647058823,0.0,0.029411764705882353
Die Linke,Doris,Achelwilm,22,37,6,0,3,68,0.3235294117647059,0.5441176470588235,0.08823529411764706,0.0,0.04411764705882353
AfD,Lars,Haise,20,42,3,0,3,68,0.29411764705882354,0.6176470588235294,0.04411764705882353,0.0,0.04411764705882353
Die Linke,Jorrit,Bosch,23,37,5,0,3,68,0.3382352941176471,0.5441176470588235,0.07352941176470588,0.0,0.04411764705882353
SPD,Sebastian,Fiedler,53,12,0,0,3,68,0.7794117647058824,0.17647058823529413,0.0,0.0,0.04411764705882353
Die Linke,Agnes,Conrad,21,38,6,0,3,68,0.3088235294117647,0.5588235294117647,0.08823529411764706,0.0,0.04411764705882353
